,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
83,Kandis Residence,0.815837216,0.770870573,0.677197298,0.298639287,0.999674082
84,Thomson View Condominium,0,0,0,0,0
85,Parc Botannia,0.78529467,0.024674545,0.495614818,0.246285804,0.999686678
86,Fifteen Robin,0,0,0,0,0
87,[email protected],0.673908785,0.142592524,0.54703613,0.507298832,-0.158202405
88,The Line @ Tanjong Rhu,0.73705779,0.998056501,0.470941456,0.012089163,0.961001635
89,Parc Riviera,0.675697927,0.873808429,0.467011193,0.549339875,-0.189420557
90,The Waterline,0.839039537,0.320084383,0.433236628,0.506731517,0.498190771
91,Woodsvale,0.635653742,0.995733082,0.551196538,0.197836883,-0.996806562
92,TRE Residences,0,0,0,0,0
93,CityVista Residences,0,0,0,0,0
94,The Colonnade,0.552986497,0.03751317,0.364479244,0.403856765,0.573947109
95,Tanjong Ria Condominium,0,0,0,0,0
96,Cyan,0.623895426,0.388912011,0.487519693,0.53270449,0.347874187
97,The Meyerise,0,0,0,0,0
98,Lake Grande,0.809929914,0.816484053,0.679157527,0.306331228,0.600184643
99,Euphony Gardens,0.865794865,0.193854856,0.584386645,0.460824316,0.999685884
100,Thomson Euro-asia,0,0,0,0,0
101,Dakota Residences,0.835281397,0.997601449,0.468775372,0.563353969,0.999106944
102,The Quartz,0,0,0,0,0
103,J Gateway,0.71258874,0.28542468,0.214357052,0.048626188,0.153855375
104,Yong An Park,0,0,0,0,0
105,The Sterling,0.628072981,0.99967587,0.550511236,0.116014247,0.999670029
106,Nathan Suites,0,0,0,0,0
107,The Suites At Central,0,0,0,0,0
108,Cityscape @ Farrer Park,0,0,0,0,0
109,A Treasure Trove,0,0,0,0,0
110,Ballota Park Condominium,0,0,0,0,0
111,The Vales,0.843828426,0.69130368,0.40310527,0.668787136,0.550672074
112,Marina Bay Residences,0,0,0,0,0
113,Hillview Regency,0,0,0,0,0
114,Queens,0,0,0,0,0
115,Laguna 88,0,0,0,0,0
116,The Marq On Paterson Hill,0,0,0,0,0
117,Riversound Residence,0,0,0,0,0
118,Dunearn Road,0,0,0,0,0
119,Parc Centros,0,0,0,0,0
120,Ardmore Residence,0,0,0,0,0
121,The Paterson,0.61896252,0.66165296,0.351765384,0.237726176,0.777222057
122,Cote D'Azur,0,0,0,0,0
123,The Skywoods,0.653540836,0.308275044,0.616798327,0.34136047,0.093029127
124,Parc Oasis,0,0,0,0,0
125,Villa Delle Rose,0.902772773,0.000482589,0.50709788,0.143646802,0.599509394
126,euHabitat,0.640391724,0.544185114,0.523774901,0.385795915,0.391182261
127,Mont Botanik Residence,0.821419919,-0.002587438,0.585174503,0.697051351,0.999684632
128,Amber Gardens,0,0,0,0,0
129,The Inflora,0,0,0,0,0
130,The Alps Residences,0.588661385,0.920608257,0.522504193,0.214343178,0.768283844
131,Bellewaters,0.670873826,0.213357264,0.381671204,0.163732716,0.99968636
132,River Place,0.788654362,0.623970587,0.491765693,0.311411843,0.430943835
133,Faber Crest,0,0,0,0,0
134,Clementi Park,0.592859808,0.240691562,0.421317781,0.249925509,-0.072659522
